school_id,district_id,triplet_id,year,treatment,SD,nrrombel,nrstudents,classsize,nrteachers
118,7,40,0,control,primary school,6,71,11.833333,6
119,7,40,0,treatment,primary school,9,245,27.222221,9
125,7,42,0,control,primary school,6,72,12,8
123,7,41,0,control,primary school,16,403,25.1875,15
116,7,39,0,control,primary school,6,165,27.5,6
117,7,39,0,control,primary school,6,55,9.166667,6
126,7,42,0,treatment,primary school,6,206,34.333332,6
120,7,40,0,control,primary school,22,709,32.227272,19
109,7,37,0,control,junior secondary school,17,415,24.411764,31
110,7,37,0,treatment,junior secondary school,26,755,29.038462,37
112,7,38,0,treatment,junior secondary school,16,365,22.8125,19
111,7,37,0,control,junior secondary school,6,102,17,10
113,7,38,0,control,junior secondary school,9,140,15.555555,14
114,7,38,0,control,junior secondary school,13,336,25.846153,22
319,18,107,0,control,primary school,6,216,36,8
316,18,106,0,control,primary school,6,57,9.5,7
322,18,108,0,control,primary school,6,133,22.166666,7
323,18,108,0,control,primary school,6,159,26.5,7
313,18,105,0,control,primary school,6,92,15.333333,6
317,18,106,0,treatment,primary school,6,121,20.166666,8
324,18,108,0,treatment,primary school,6,42,7,6
314,18,105,0,control,primary school,6,111,18.5,6
318,18,106,0,control,primary school,6,185,30.833334,10
315,18,105,0,treatment,primary school,8,230,28.75,9
320,18,107,0,treatment,primary school,6,89,14.833333,6
321,18,107,0,control,primary school,8,185,23.125,9
310,18,104,0,control,junior secondary school,12,315,26.25,12
307,18,103,0,control,junior secondary school,6,152,25.333334,7
311,18,104,0,control,junior secondary school,12,316,26.333334,10
308,18,103,0,control,junior secondary school,12,329,27.416666,11
309,18,103,0,treatment,junior secondary school,11,226,20.545454,14
312,18,104,0,treatment,junior secondary school,11,239,21.727272,13
64,4,22,0,control,primary school,7,151,21.571428,6
67,4,23,0,control,primary school,6,113,18.833334,6
65,4,22,0,control,primary school,6,132,22,6
70,4,24,0,treatment,primary school,6,128,21.333334,7
61,4,21,0,treatment,primary school,8,194,24.25,8
68,4,23,0,treatment,primary school,6,86,14.333333,7
71,4,24,0,control,primary school,12,250,20.833334,12
62,4,21,0,control,primary school,6,121,20.166666,7
69,4,23,0,control,primary school,10,258,25.799999,10
72,4,24,0,control,primary school,6,126,21,6
63,4,21,0,control,primary school,6,96,16,6
66,4,22,0,treatment,primary school,12,141,11.75,8
55,4,19,0,control,junior secondary school,8,166,20.75,8
58,4,20,0,treatment,junior secondary school,8,180,22.5,9
59,4,20,0,control,junior secondary school,5,73,14.6,6
60,4,20,0,control,junior secondary school,6,116,19.333334,10
56,4,19,0,treatment,junior secondary school,3,37,12.333333,8
57,4,19,0,control,junior secondary school,6,86,14.333333,8
34,2,12,0,control,primary school,12,312,26,14
35,2,12,0,control,primary school,6,120,20,6
31,2,11,0,control,primary school,6,148,24.666666,6
28,2,10,0,treatment,primary school,12,286,23.833334,13
36,2,12,0,treatment,primary school,11,228,20.727272,11
32,2,11,0,treatment,primary school,6,59,9.833333,7
25,2,9,0,control,primary school,13,265,20.384615,13
29,2,10,0,control,primary school,6,141,23.5,11
26,2,9,0,control,primary school,6,196,32.666668,10
30,2,10,0,control,primary school,10,237,23.700001,10
27,2,9,0,treatment,primary school,6,85,14.166667,6
33,2,11,0,control,primary school,6,84,14,9
22,2,8,0,control,junior secondary school,9,195,21.666666,15
19,2,7,0,control,junior secondary school,4,105,26.25,7
20,2,7,0,treatment,junior secondary school,12,268,22.333334,16
23,2,8,0,control,junior secondary school,7,129,18.428572,12
24,2,8,0,treatment,junior secondary school,9,172,19.111111,9
21,2,7,0,control,junior secondary school,3,17,5.6666665,5
265,15,89,0,control,primary school,8,169,21.125,8
259,15,87,0,treatment,primary school,17,371,21.82353,19
266,15,89,0,control,primary school,9,174,19.333334,10
267,15,89,0,treatment,primary school,6,150,25,7
260,15,87,0,control,primary school,6,116,19.333334,7
262,15,88,0,treatment,primary school,24,160,6.6666665,18
268,15,90,0,treatment,primary school,6,80,13.333333,6
263,15,88,0,control,primary school,6,77,12.833333,7
264,15,88,0,control,primary school,9,168,18.666666,9
269,15,90,0,control,primary school,16,422,26.375,17
261,15,87,0,control,primary school,6,64,10.666667,6
256,15,86,0,treatment,junior secondary school,9,152,16.888889,14
253,15,85,0,control,junior secondary school,3,50,16.666666,4
254,15,85,0,treatment,junior secondary school,3,25,8.333333,4
270,15,90,0,control,primary school,6,123,20.5,8
255,15,85,0,control,junior secondary school,7,119,17,11
257,15,86,0,control,junior secondary school,10,265,26.5,14
258,15,86,0,control,junior secondary school,3,50,16.666666,5
